
Gurobi 9.0.2 (linux64, Python) logging started Sat Dec  5 19:15:47 2020

Using license file /share/apps/gurobi/9.0.2/gurobi_client.lic
Set parameter TokenServer to value 10.1.1.1
Set parameter LogFile to value /storage/users/anderhva/051220-191547/logs/O10-C1-V3-WS0.log
Set parameter LogToConsole to value 0
Changed value of parameter TimeLimit to 3600.0
   Prev: inf  Min: 0.0  Max: inf  Default: inf
Gurobi Optimizer version 9.0.2 build v9.0.2rc0 (linux64)
Optimize a model with 8532 rows, 111864 columns and 636904 nonzeros
Model fingerprint: 0xbc623559
Variable types: 96 continuous, 111768 integer (111768 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+02]
  Objective range  [1e+00, 1e+04]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+02]
Presolve removed 598 rows and 3848 columns
Presolve time: 1.77s
Presolved: 7934 rows, 108016 columns, 508976 nonzeros
Variable types: 80 continuous, 107936 integer (107932 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
    6911    1.4946310e+03   3.772419e+02   0.000000e+00      5s
   12944    1.5739700e+03   1.788402e+03   0.000000e+00     10s
   17984    1.6184267e+03   1.201218e+03   0.000000e+00     15s
   23034    1.6636875e+03   3.941297e+03   0.000000e+00     20s
   28454    1.7432671e+03   5.190861e+03   0.000000e+00     25s
   33954    1.8046295e+03   2.295777e+03   0.000000e+00     30s
   38514    1.8469290e+03   5.323616e+02   0.000000e+00     35s
   40262    1.8576342e+03   0.000000e+00   0.000000e+00     37s

Root relaxation: objective 1.857634e+03, 40262 iterations, 34.14 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 1857.63419    0   97          - 1857.63419      -     -   38s
H    0     0                    25859.169375 1857.63419  92.8%     -   41s
     0     0 1894.44153    0  142 25859.1694 1894.44153  92.7%     -   45s
H    0     0                    5127.6914583 1894.44153  63.1%     -   46s
     0     0 2384.64466    0   95 5127.69146 2384.64466  53.5%     -   54s
     0     0 2384.64466    0  143 5127.69146 2384.64466  53.5%     -   75s
     0     0 2384.64466    0  173 5127.69146 2384.64466  53.5%     -   83s
H    0     0                    3439.8966667 2384.64466  30.7%     -   91s
     0     0 2385.88590    0  113 3439.89667 2385.88590  30.6%     -   94s
     0     0 2408.32156    0  145 3439.89667 2408.32156  30.0%     -   96s
     0     0 2428.17010    0  189 3439.89667 2428.17010  29.4%     -   98s
     0     0 2430.93280    0  284 3439.89667 2430.93280  29.3%     -  101s
     0     0 2431.21958    0  189 3439.89667 2431.21958  29.3%     -  101s
     0     0 2431.38798    0  208 3439.89667 2431.38798  29.3%     -  101s
     0     0 2444.25140    0  174 3439.89667 2444.25140  28.9%     -  104s
     0     0 2444.68879    0  121 3439.89667 2444.68879  28.9%     -  104s
     0     0 2445.19384    0  168 3439.89667 2445.19384  28.9%     -  105s
     0     0 2445.38058    0  168 3439.89667 2445.38058  28.9%     -  106s
     0     0 2446.96597    0  202 3439.89667 2446.96597  28.9%     -  106s
     0     0 2447.03422    0  172 3439.89667 2447.03422  28.9%     -  107s
     0     0 2458.02217    0  328 3439.89667 2458.02217  28.5%     -  109s
     0     0 2459.27114    0  236 3439.89667 2459.27114  28.5%     -  117s
     0     0 2459.60158    0  186 3439.89667 2459.60158  28.5%     -  118s
     0     0 2459.61904    0  219 3439.89667 2459.61904  28.5%     -  118s
     0     0 2462.94352    0  221 3439.89667 2462.94352  28.4%     -  120s
     0     0 2463.81652    0  272 3439.89667 2463.81652  28.4%     -  121s
     0     0 2464.00284    0  286 3439.89667 2464.00284  28.4%     -  121s
     0     0 2465.16614    0  218 3439.89667 2465.16614  28.3%     -  122s
     0     0 2465.37229    0  375 3439.89667 2465.37229  28.3%     -  123s
     0     0 2465.37573    0  367 3439.89667 2465.37573  28.3%     -  123s
     0     0 2472.58028    0  341 3439.89667 2472.58028  28.1%     -  126s
     0     0 2472.95227    0  229 3439.89667 2472.95227  28.1%     -  127s
     0     0 2473.11424    0  276 3439.89667 2473.11424  28.1%     -  128s
     0     0 2473.36021    0  332 3439.89667 2473.36021  28.1%     -  128s
     0     0 2473.37577    0  255 3439.89667 2473.37577  28.1%     -  128s
     0     0 2477.17299    0  281 3439.89667 2477.17299  28.0%     -  131s
     0     0 2477.90874    0  394 3439.89667 2477.90874  28.0%     -  134s
     0     0 2477.91553    0  390 3439.89667 2477.91553  28.0%     -  134s
     0     0 2481.45781    0  315 3439.89667 2481.45781  27.9%     -  137s
     0     0 2482.74393    0  398 3439.89667 2482.74393  27.8%     -  138s
     0     0 2482.77809    0  418 3439.89667 2482.77809  27.8%     -  138s
     0     0 2485.63429    0  385 3439.89667 2485.63429  27.7%     -  141s
     0     0 2485.83318    0  285 3439.89667 2485.83318  27.7%     -  142s
     0     0 2485.96109    0  296 3439.89667 2485.96109  27.7%     -  142s
     0     0 2489.68544    0  377 3439.89667 2489.68544  27.6%     -  144s
     0     0 2489.89686    0  323 3439.89667 2489.89686  27.6%     -  145s
