
Gurobi 9.0.2 (linux64, Python) logging started Sun Dec  6 12:15:03 2020

Using license file /share/apps/gurobi/9.0.2/gurobi_client.lic
Set parameter TokenServer to value 10.1.1.1
Set parameter LogFile to value /storage/users/anderhva/061220-115738/logs/O10-C2-V5-WS0.log
Set parameter LogToConsole to value 0
Changed value of parameter TimeLimit to 3600.0
   Prev: inf  Min: 0.0  Max: inf  Default: inf
Gurobi Optimizer version 9.0.2 build v9.0.2rc0 (linux64)
Optimize a model with 12572 rows, 165276 columns and 941838 nonzeros
Model fingerprint: 0x5cfe1f41
Variable types: 144 continuous, 165132 integer (165132 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+02]
  Objective range  [1e+00, 1e+04]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+02]
Presolve removed 844 rows and 4974 columns
Presolve time: 2.76s
Presolved: 11728 rows, 160302 columns, 755022 nonzeros
Variable types: 120 continuous, 160182 integer (160176 binary)

Deterministic concurrent LP optimizer: primal and dual simplex
Showing first log only...


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    1.6466335e+04   2.400000e+01   6.032452e+09      5s
   35606    1.1823725e+03   0.000000e+00   1.024380e+06     10s
   54023    1.2638784e+03   6.020540e+02   0.000000e+00     15s
   58332    1.3367265e+03   1.177553e+03   0.000000e+00     20s
   61932    1.4128767e+03   1.128403e+02   0.000000e+00     25s
Concurrent spin time: 0.00s

Solved with dual simplex

Root relaxation: objective 1.778129e+03, 24528 iterations, 22.92 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 1778.12903    0  126          - 1778.12903      -     -   30s
     0     0 1778.12903    0  165          - 1778.12903      -     -   37s
H    0     0                    4767.8897917 1778.12903  62.7%     -   44s
     0     0 2342.92775    0  153 4767.88979 2342.92775  50.9%     -   47s
     0     0 2387.81023    0  151 4767.88979 2387.81023  49.9%     -   59s
     0     0 2389.22246    0  150 4767.88979 2389.22246  49.9%     -   60s
     0     0 2389.22246    0  151 4767.88979 2389.22246  49.9%     -   60s
     0     0 2432.30198    0  147 4767.88979 2432.30198  49.0%     -   66s
H    0     0                    4744.0991667 2432.30198  48.7%     -   76s
     0     0 2443.82296    0  231 4744.09917 2443.82296  48.5%     -   82s
     0     0 2452.96660    0  203 4744.09917 2452.96660  48.3%     -   86s
     0     0 2453.25967    0  230 4744.09917 2453.25967  48.3%     -   87s
     0     0 2453.95351    0  229 4744.09917 2453.95351  48.3%     -   87s
     0     0 2477.66982    0  166 4744.09917 2477.66982  47.8%     -   95s
H    0     0                    4260.8200000 2477.66982  41.8%     -   96s
     0     0 2492.11489    0  157 4260.82000 2492.11489  41.5%     -   98s
     0     0 2505.68974    0  230 4260.82000 2505.68974  41.2%     -  105s
H    0     0                    4093.4516667 2505.68974  38.8%     -  106s
     0     0 2508.48816    0  185 4093.45167 2508.48816  38.7%     -  108s
     0     0 2523.79239    0  250 4093.45167 2523.79239  38.3%     -  115s
     0     0 2524.27952    0  287 4093.45167 2524.27952  38.3%     -  117s
     0     0 2524.29326    0  288 4093.45167 2524.29326  38.3%     -  118s
     0     0 2532.09642    0  312 4093.45167 2532.09642  38.1%     -  125s
     0     0 2533.57144    0  264 4093.45167 2533.57144  38.1%     -  135s
     0     0 2533.70194    0  218 4093.45167 2533.70194  38.1%     -  136s
     0     0 2533.72085    0  364 4093.45167 2533.72085  38.1%     -  137s
H    0     0                    4001.6533333 2533.72085  36.7%     -  140s
     0     0 2539.50807    0  270 4001.65333 2539.50807  36.5%     -  143s
     0     0 2541.37367    0  305 4001.65333 2541.37367  36.5%     -  149s
     0     0 2542.48661    0  367 4001.65333 2542.48661  36.5%     -  152s
     0     0 2542.73722    0  268 4001.65333 2542.73722  36.5%     -  153s
     0     0 2545.50707    0  207 4001.65333 2545.50707  36.4%     -  158s
     0     0 2545.82281    0  205 4001.65333 2545.82281  36.4%     -  159s
     0     0 2549.78555    0  307 4001.65333 2549.78555  36.3%     -  164s
     0     0 2550.54061    0  386 4001.65333 2550.54061  36.3%     -  167s
     0     0 2550.81963    0  322 4001.65333 2550.81963  36.3%     -  168s
     0     0 2550.86039    0  429 4001.65333 2550.86039  36.3%     -  168s
     0     0 2553.25117    0  304 4001.65333 2553.25117  36.2%     -  173s
     0     0 2555.54434    0  115 4001.65333 2555.54434  36.1%     -  177s
     0     0 2557.89759    0  186 4001.65333 2557.89759  36.1%     -  180s
     0     0 2558.27317    0  272 4001.65333 2558.27317  36.1%     -  181s
     0     0 2558.36125    0  323 4001.65333 2558.36125  36.1%     -  183s
     0     0 2560.39710    0  212 4001.65333 2560.39710  36.0%     -  187s
     0     0 2560.70037    0  263 4001.65333 2560.70037  36.0%     -  190s
H    0     0                    3922.6866667 2560.70037  34.7%     -  191s
     0     0 2563.68900    0  238 3922.68667 2563.68900  34.6%     -  193s
     0     0 2563.68900    0  149 3922.68667 2563.68900  34.6%     -  224s
     0     0 2563.68900    0  137 3922.68667 2563.68900  34.6%     -  233s
