
Gurobi 9.0.2 (linux64, Python) logging started Sat Dec  5 11:05:27 2020

Using license file /share/apps/gurobi/9.0.2/gurobi_client.lic
Set parameter TokenServer to value 10.1.1.1
Set parameter LogFile to value /storage/users/anderhva/051220-103929/logs/O20-C2-V3-WS2.log
Set parameter LogToConsole to value 0
Changed value of parameter TimeLimit to 3600.0
   Prev: inf  Min: 0.0  Max: inf  Default: inf
Gurobi Optimizer version 9.0.2 build v9.0.2rc0 (linux64)
Optimize a model with 8192 rows, 87644 columns and 502192 nonzeros
Model fingerprint: 0xb0b3a30f
Variable types: 176 continuous, 87468 integer (87468 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+02]
  Objective range  [1e+00, 1e+04]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+02]
Presolve removed 1952 rows and 13880 columns
Presolve time: 2.73s
Presolved: 6240 rows, 73764 columns, 348232 nonzeros
Variable types: 160 continuous, 73604 integer (73596 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
    8804    6.7706899e+03   2.838021e+04   0.000000e+00      5s
   12504    7.7606813e+03   0.000000e+00   0.000000e+00      6s

Root relaxation: objective 7.760681e+03, 12504 iterations, 3.20 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 7760.68134    0  118          - 7760.68134      -     -    7s
     0     0 7816.64584    0  147          - 7816.64584      -     -    8s
H    0     0                    24370.410971 7816.64584  67.9%     -    9s
H    0     0                    24101.258987 7816.64584  67.6%     -   20s
H    0     0                    10169.407865 7816.64584  23.1%     -   20s
     0     0 7969.50289    0  121 10169.4079 7969.50289  21.6%     -   21s
     0     0 7969.50289    0  111 10169.4079 7969.50289  21.6%     -   26s
     0     0 7969.50289    0  122 10169.4079 7969.50289  21.6%     -   30s
     0     0 7969.50289    0  114 10169.4079 7969.50289  21.6%     -   30s
     0     0 7969.50289    0  122 10169.4079 7969.50289  21.6%     -   31s
     0     0 7972.37973    0  103 10169.4079 7972.37973  21.6%     -   31s
     0     0 8016.89213    0  130 10169.4079 8016.89213  21.2%     -   32s
     0     0 8040.84030    0  160 10169.4079 8040.84030  20.9%     -   32s
     0     0 8105.14890    0  160 10169.4079 8105.14890  20.3%     -   33s
     0     0 8111.19655    0  164 10169.4079 8111.19655  20.2%     -   34s
     0     0 8111.19655    0  144 10169.4079 8111.19655  20.2%     -   34s
     0     0 8129.98335    0  141 10169.4079 8129.98335  20.1%     -   35s
     0     0 8131.28396    0  198 10169.4079 8131.28396  20.0%     -   35s
     0     0 8131.44687    0  177 10169.4079 8131.44687  20.0%     -   35s
     0     0 8131.48714    0  181 10169.4079 8131.48714  20.0%     -   35s
     0     0 8159.15214    0  156 10169.4079 8159.15214  19.8%     -   36s
     0     0 8161.00566    0  228 10169.4079 8161.00566  19.7%     -   36s
     0     0 8161.22540    0  206 10169.4079 8161.22540  19.7%     -   37s
     0     0 8161.48513    0  260 10169.4079 8161.48513  19.7%     -   37s
     0     0 8161.51826    0  245 10169.4079 8161.51826  19.7%     -   37s
     0     0 8195.61740    0  147 10169.4079 8195.61740  19.4%     -   38s
     0     0 8196.04798    0  270 10169.4079 8196.04798  19.4%     -   38s
     0     0 8196.30342    0  246 10169.4079 8196.30342  19.4%     -   38s
     0     0 8196.42232    0  216 10169.4079 8196.42232  19.4%     -   38s
     0     0 8196.47465    0  212 10169.4079 8196.47465  19.4%     -   39s
     0     0 8204.49217    0  228 10169.4079 8204.49217  19.3%     -   39s
     0     0 8205.86639    0  248 10169.4079 8205.86639  19.3%     -   40s
     0     0 8206.07693    0  251 10169.4079 8206.07693  19.3%     -   40s
     0     0 8223.90386    0  225 10169.4079 8223.90386  19.1%     -   41s
     0     0 8226.35225    0  222 10169.4079 8226.35225  19.1%     -   41s
     0     0 8226.49470    0  237 10169.4079 8226.49470  19.1%     -   41s
     0     0 8226.50161    0  244 10169.4079 8226.50161  19.1%     -   41s
     0     0 8240.19130    0  163 10169.4079 8240.19130  19.0%     -   42s
     0     0 8241.19627    0  189 10169.4079 8241.19627  19.0%     -   42s
     0     0 8241.22488    0  244 10169.4079 8241.22488  19.0%     -   43s
     0     0 8252.48009    0  241 10169.4079 8252.48009  18.8%     -   43s
     0     0 8252.61774    0  275 10169.4079 8252.61774  18.8%     -   44s
     0     0 8254.09881    0  205 10169.4079 8254.09881  18.8%     -   44s
     0     0 8254.35795    0  226 10169.4079 8254.35795  18.8%     -   44s
     0     0 8254.62102    0  251 10169.4079 8254.62102  18.8%     -   44s
     0     0 8254.77009    0  203 10169.4079 8254.77009  18.8%     -   45s
     0     0 8254.81520    0  201 10169.4079 8254.81520  18.8%     -   45s
     0     0 8254.93087    0  235 10169.4079 8254.93087  18.8%     -   45s
     0     0 8254.93087    0  235 10169.4079 8254.93087  18.8%     -   47s
H    0     0                    9919.8326138 8437.72441  14.9%     -   70s
     0     0 8437.72441    0  120 9919.83261 8437.72441  14.9%     -   74s
     0     0 8437.72441    0  109 9919.83261 8437.72441  14.9%     -   77s
