
Gurobi 9.0.2 (linux64, Python) logging started Sat Dec  5 14:14:01 2020

Using license file /share/apps/gurobi/9.0.2/gurobi_client.lic
Set parameter TokenServer to value 10.1.1.1
Set parameter LogFile to value /storage/users/anderhva/051220-120816/logs/O24-C2-V3-WS2.log
Set parameter LogToConsole to value 0
Changed value of parameter TimeLimit to 3600.0
   Prev: inf  Min: 0.0  Max: inf  Default: inf
Gurobi Optimizer version 9.0.2 build v9.0.2rc0 (linux64)
Optimize a model with 10596 rows, 125204 columns and 722164 nonzeros
Model fingerprint: 0xb360a861
Variable types: 208 continuous, 124996 integer (124996 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+02]
  Objective range  [1e+00, 1e+04]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+02]
Presolve removed 2400 rows and 18592 columns
Presolve time: 3.96s
Presolved: 8196 rows, 106612 columns, 505204 nonzeros
Variable types: 192 continuous, 106420 integer (106412 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   2.818672e+02   0.000000e+00      5s
   15185    8.5182423e+03   7.718634e+03   0.000000e+00     10s
   18427    9.1657949e+03   0.000000e+00   0.000000e+00     12s

Root relaxation: objective 9.165795e+03, 18427 iterations, 7.27 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 9165.79486    0  172          - 9165.79486      -     -   13s
H    0     0                    14507.663489 9165.79486  36.8%     -   16s
     0     0 9274.21077    0  184 14507.6635 9274.21077  36.1%     -   16s
H    0     0                    14460.305618 9274.21077  35.9%     -   36s
H    0     0                    14460.305510 9274.21077  35.9%     -   37s
     0     0 9379.35302    0  173 14460.3055 9379.35302  35.1%     -   39s
     0     0 9379.65267    0  172 14460.3055 9379.65267  35.1%     -   40s
     0     0 9380.59005    0  181 14460.3055 9380.59005  35.1%     -   40s
     0     0 9380.59005    0  204 14460.3055 9380.59005  35.1%     -   40s
     0     0 9395.85426    0  159 14460.3055 9395.85426  35.0%     -   42s
     0     0 9411.86077    0  152 14460.3055 9411.86077  34.9%     -   43s
     0     0 9417.00003    0  194 14460.3055 9417.00003  34.9%     -   44s
     0     0 9417.33927    0  193 14460.3055 9417.33927  34.9%     -   44s
     0     0 9417.43418    0  201 14460.3055 9417.43418  34.9%     -   44s
     0     0 9418.33708    0  194 14460.3055 9418.33708  34.9%     -   45s
     0     0 9419.22781    0  182 14460.3055 9419.22781  34.9%     -   45s
     0     0 9451.77997    0  240 14460.3055 9451.77997  34.6%     -   46s
     0     0 9458.12513    0  205 14460.3055 9458.12513  34.6%     -   47s
     0     0 9458.40164    0  227 14460.3055 9458.40164  34.6%     -   48s
     0     0 9458.53127    0  227 14460.3055 9458.53127  34.6%     -   48s
     0     0 9475.62118    0  205 14460.3055 9475.62118  34.5%     -   49s
     0     0 9478.60007    0  225 14460.3055 9478.60007  34.5%     -   50s
     0     0 9479.33065    0  253 14460.3055 9479.33065  34.4%     -   50s
     0     0 9479.38407    0  275 14460.3055 9479.38407  34.4%     -   50s
     0     0 9497.15440    0  197 14460.3055 9497.15440  34.3%     -   51s
     0     0 9502.02497    0  227 14460.3055 9502.02497  34.3%     -   52s
     0     0 9504.34525    0  331 14460.3055 9504.34525  34.3%     -   53s
     0     0 9506.64227    0  277 14460.3055 9506.64227  34.3%     -   53s
     0     0 9506.80641    0  279 14460.3055 9506.80641  34.3%     -   53s
     0     0 9506.89218    0  280 14460.3055 9506.89218  34.3%     -   54s
     0     0 9507.24119    0  287 14460.3055 9507.24119  34.3%     -   54s
     0     0 9507.33546    0  301 14460.3055 9507.33546  34.3%     -   54s
     0     0 9526.72262    0  268 14460.3055 9526.72262  34.1%     -   55s
     0     0 9529.20338    0  272 14460.3055 9529.20338  34.1%     -   56s
     0     0 9529.24045    0  276 14460.3055 9529.24045  34.1%     -   56s
     0     0 9540.14465    0  319 14460.3055 9540.14465  34.0%     -   57s
     0     0 9541.33580    0  290 14460.3055 9541.33580  34.0%     -   58s
     0     0 9541.76749    0  319 14460.3055 9541.76749  34.0%     -   59s
     0     0 9542.09366    0  318 14460.3055 9542.09366  34.0%     -   59s
     0     0 9542.37766    0  327 14460.3055 9542.37766  34.0%     -   59s
     0     0 9543.16370    0  319 14460.3055 9543.16370  34.0%     -   59s
     0     0 9543.19853    0  324 14460.3055 9543.19853  34.0%     -   59s
     0     0 9559.90908    0  266 14460.3055 9559.90908  33.9%     -   60s
     0     0 9564.78132    0  381 14460.3055 9564.78132  33.9%     -   62s
     0     0 9566.36470    0  288 14460.3055 9566.36470  33.8%     -   62s
     0     0 9567.79655    0  331 14460.3055 9567.79655  33.8%     -   62s
     0     0 9567.91683    0  349 14460.3055 9567.91683  33.8%     -   62s
     0     0 9567.98458    0  356 14460.3055 9567.98458  33.8%     -   62s
     0     0 9577.91129    0  283 14460.3055 9577.91129  33.8%     -   63s
     0     0 9579.04783    0  341 14460.3055 9579.04783  33.8%     -   64s
     0     0 9579.07811    0  353 14460.3055 9579.07811  33.8%     -   64s
